,Query ID,Target ID,Affinity Threshold (nM),P-Value,Max Tc,Cut Sum,Z-Score,Name,Description,Query Smiles
14,compound_1,CAH12_HUMAN,5,6.884e-08,0.6538,9.9694,12.4083,CA12,Carbonic anhydrase 12,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
16,compound_1,CAH14_HUMAN,5,1.998e-15,0.6538,7.1787,25.9599,CA14,Carbonic anhydrase 14,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
17,compound_1,CAH2_HUMAN,5,5.87e-06,0.6538,12.9873,8.9419,CA2,Carbonic anhydrase 2,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
18,compound_1,CAH3_HUMAN,5,5.196e-25,0.6538,2.8958,43.148,CA3,Carbonic anhydrase 3,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
19,compound_1,CAH1_HUMAN,5,8.529e-07,0.6538,12.6366,10.4459,CA1,Carbonic anhydrase 1,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
20,compound_1,CAH4_HUMAN,5,3.077e-07,0.6538,2.7962,11.2409,CA4,Carbonic anhydrase 4,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
21,compound_1,CAH5A_HUMAN,5,3.709e-18,0.6538,4.9936,30.8437,CA5A,"Carbonic anhydrase 5A, mitochondrial",C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
22,compound_1,CAH6_HUMAN,5,1.7530000000000004e-24,0.6538,5.5079,42.2,CA6,Carbonic anhydrase 6,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
23,compound_1,CAH5B_HUMAN,5,1.594e-20,0.6538,5.1746,35.0927,CA5B,"Carbonic anhydrase 5B, mitochondrial",C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
24,compound_1,CAH7_HUMAN,5,1.1250000000000001e-17,0.6538,8.352,29.9785,CA7,Carbonic anhydrase 7,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
25,compound_1,CAH9_HUMAN,5,1.705e-07,0.6538,11.0072,11.7012,CA9,Carbonic anhydrase 9,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
26,compound_1,CH60_HUMAN,5,1.799e-08,0.3256,0.3256,13.4548,HSPD1,"60 kDa heat shock protein, mitochondrial",C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
27,compound_1,CISD1_HUMAN,5,2.023e-12,0.5143,1.6078,20.5443,CISD1,CDGSH iron-sulfur domain-containing protein 1,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
28,compound_1,CP1B1_HUMAN,5,2.1e-08,0.4643,1.8278,13.3339,CYP1B1,Cytochrome P450 1B1,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
29,compound_1,CP26B_HUMAN,5,5.222e-07,0.3125,0.3125,10.8284,CYP26B1,Cytochrome P450 26B1,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
30,compound_1,CTBP2_HUMAN,5,8.209000000000001e-11,0.3056,0.3056,17.657,CTBP2,C-terminal-binding protein 2,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
32,compound_1,DCOR_HUMAN,5,5.498e-09,0.3696,0.3696,14.3789,ODC1,Ornithine decarboxylase,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
33,compound_1,DHB3_HUMAN,5,9.064000000000001e-11,0.3939,2.186,17.5797,HSD17B3,Testosterone 17-beta-dehydrogenase 3,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
36,compound_1,EP300_HUMAN,5,3.519e-12,0.5143,1.6404,20.1129,EP300,Histone acetyltransferase p300,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
37,compound_1,ERR3_HUMAN,5,2.722e-12,0.3333,0.9492,20.3129,ESRRG,Estrogen-related receptor gamma,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
38,compound_1,ESR1_HUMAN,5,8.072e-22,0.5152,27.1081,37.4186,ESR1,Estrogen receptor,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
39,compound_1,ESR2_HUMAN,5,7.021e-09,0.6538,9.8438,14.1882,ESR2,Estrogen receptor beta,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
40,compound_1,FOS_HUMAN,5,1.0659999999999999e-14,0.6667,1.6254,24.6327,FOS,Proto-oncogene c-Fos,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
41,compound_1,G6PC_HUMAN,5,6.51e-07,0.3077,0.3077,10.6565,G6PC,Glucose-6-phosphatase,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
42,compound_1,G6PT1_HUMAN,5,1.754e-14,0.2951,0.5808,24.2455,SLC37A4,Glucose-6-phosphate exchanger SLC37A4,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
43,compound_1,GABT_HUMAN,5,2.7210000000000002e-24,0.3548,0.3548,41.8571,ABAT,"4-aminobutyrate aminotransferase, mitochondrial",C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
45,compound_1,GP183_HUMAN,5,4.593e-33,0.3256,5.5865,57.6068,GPR183,G-protein coupled receptor 183,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
49,compound_1,GSK3B_HUMAN,5,8.076e-05,1.0,7.2878,6.8978,GSK3B,Glycogen synthase kinase-3 beta,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
52,compound_1,HDA10_HUMAN,5,1.6099999999999999e-10,0.4,2.9422,17.132,HDAC10,Histone deacetylase 10,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
53,compound_1,HDA11_HUMAN,5,4.689e-12,0.6,2.613,19.8889,HDAC11,Histone deacetylase 11,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
54,compound_1,HDAC1_HUMAN,5,4.015e-17,0.6,28.0123,28.9865,HDAC1,Histone deacetylase 1,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
55,compound_1,HDAC2_HUMAN,5,8.091e-13,0.6,8.6444,21.2589,HDAC2,Histone deacetylase 2,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
56,compound_1,HDAC4_HUMAN,5,3.1759999999999998e-09,0.3333,4.3673,14.8069,HDAC4,Histone deacetylase 4,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
57,compound_1,HDAC3_HUMAN,5,3.173e-06,0.6,5.0931,9.4215,HDAC3,Histone deacetylase 3,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
58,compound_1,HDAC5_HUMAN,5,8.085e-13,0.3721,2.2836,21.2595,HDAC5,Histone deacetylase 5,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
59,compound_1,HDAC7_HUMAN,5,1.08e-08,0.3333,1.5628,13.8526,HDAC7,Histone deacetylase 7,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
60,compound_1,HDAC8_HUMAN,5,3.974e-21,0.6,15.9427,36.1758,HDAC8,Histone deacetylase 8,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
61,compound_1,HDAC6_HUMAN,5,1.265e-10,0.6,12.061,17.32,HDAC6,Histone deacetylase 6,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
62,compound_1,HDAC9_HUMAN,5,9.637000000000001e-14,0.6,2.5032,22.9177,HDAC9,Histone deacetylase 9,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
63,compound_1,JUN_HUMAN,5,3.915e-13,0.6667,3.1105,21.8249,JUN,Transcription factor AP-1,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
65,compound_1,LGUL_HUMAN,5,2.6450000000000002e-23,0.6667,2.06,40.0838,GLO1,Lactoylglutathione lyase,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
69,compound_1,MIF_HUMAN,5,5.473e-21,0.4211,4.791,35.9263,MIF,Macrophage migration inhibitory factor,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
70,compound_1,MMP1_HUMAN,5,2.9310000000000003e-12,0.6,16.0026,20.2552,MMP1,Interstitial collagenase,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
71,compound_1,MMP2_HUMAN,5,1.555e-10,0.6,16.0108,17.1587,MMP2,72 kDa type IV collagenase,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
72,compound_1,MMP9_HUMAN,5,9.259e-14,0.6,17.0545,22.9489,MMP9,Matrix metalloproteinase-9,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
74,compound_1,MYG_HUMAN,5,1.329e-38,0.3667,0.3667,67.5501,MB,Myoglobin,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
75,compound_1,NF2L2_HUMAN,5,6.439e-15,0.5143,1.3207,25.029,NFE2L2,Nuclear factor erythroid 2-related factor 2,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
76,compound_1,NFKB1_HUMAN,5,2.0469999999999997e-30,0.5143,2.8644,52.851000000000006,NFKB1,Nuclear factor NF-kappa-B p105 subunit,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
77,compound_1,NMUR2_HUMAN,5,5.223e-08,0.2857,0.2857,12.6236,NMUR2,Neuromedin-U receptor 2,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
82,compound_1,PLCG1_HUMAN,5,1.7830000000000001e-06,0.2857,0.2857,9.8709,PLCG1,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1",C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
95,compound_1,RHOA_HUMAN,5,1.9120000000000002e-07,0.3,0.3,11.6117,RHOA,Transforming protein RhoA,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
96,compound_1,RIR1_HUMAN,5,3.252e-11,0.2826,0.2826,18.3791,RRM1,Ribonucleoside-diphosphate reductase large subunit,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
98,compound_1,SSDH_HUMAN,5,2.1869999999999998e-37,0.3548,0.3548,65.3667,ALDH5A1,"Succinate-semialdehyde dehydrogenase, mitochondrial",C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
100,compound_1,SYYC_HUMAN,5,1.942e-09,0.2889,0.5746,15.1902,YARS,"Tyrosine--tRNA ligase, cytoplasmic",C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
101,compound_1,TAU_HUMAN,5,4.262e-42,0.5143,8.1836,73.8229,MAPT,Microtubule-associated protein tau,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
102,compound_1,TF_HUMAN,5,1.205e-12,0.68,4.7996,20.9485,F3,Tissue factor,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
105,compound_1,TLR9_HUMAN,5,8.795e-11,1.0,3.2295,17.6032,TLR9,Toll-like receptor 9,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
106,compound_1,TOP2A_HUMAN,5,2.8389999999999995e-50,0.4865,6.7755,88.5022,TOP2A,DNA topoisomerase 2-alpha,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
108,compound_1,TRPM2_HUMAN,5,1.1209999999999999e-14,0.3265,0.3265,24.5952,TRPM2,Transient receptor potential cation channel subfamily M member 2,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
109,compound_1,TTHY_HUMAN,5,3.4210000000000004e-10,0.4643,1.5018,16.5441,TTR,Transthyretin,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
