,Query ID,Target ID,Affinity Threshold (nM),P-Value,Max Tc,Cut Sum,Z-Score,Name,Description,Query Smiles
46,compound_1,CISD1_HUMAN,5,1.565e-14,0.8857,1.896,24.3334,CISD1,CDGSH iron-sulfur domain-containing protein 1,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
47,compound_1,CP1A1_HUMAN,5,1.219e-56,0.3953,3.6982,99.9336,CYP1A1,Cytochrome P450 1A1,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
48,compound_1,CP1B1_HUMAN,5,1.2489999999999998e-41,0.4286,9.5375,72.9847,CYP1B1,Cytochrome P450 1B1,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
49,compound_1,CP24A_HUMAN,5,4.7380000000000005e-08,0.3333,0.9124,12.6995,CYP24A1,"1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial",COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
50,compound_1,CP26B_HUMAN,5,1.5959999999999998e-06,0.2881,0.2881,9.9575,CYP26B1,Cytochrome P450 26B1,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
54,compound_1,DCOR_HUMAN,5,2.998e-35,0.4483,1.5549,61.5301,ODC1,Ornithine decarboxylase,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
56,compound_1,DHCR7_HUMAN,5,5.162000000000001e-20,0.3016,0.5873,34.1766,DHCR7,7-dehydrocholesterol reductase,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
58,compound_1,DHPR_HUMAN,5,1.11e-16,0.3455,0.6418,28.7272,QDPR,Dihydropteridine reductase,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
60,compound_1,DUS3_HUMAN,5,7.287000000000002e-12,0.42,4.5216,19.5452,DUSP3,Dual specificity protein phosphatase 3,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
61,compound_1,DYN1_HUMAN,5,5.676e-21,0.3455,1.6617,35.8979,DNM1,Dynamin-1,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
62,compound_1,DYR1A_HUMAN,5,8.894e-06,0.42,4.1569,8.6179,DYRK1A,Dual specificity tyrosine-phosphorylation-regulated kinase 1A,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
65,compound_1,DYRK4_HUMAN,5,2.522e-07,0.42,1.1662,11.395999999999999,DYRK4,Dual specificity tyrosine-phosphorylation-regulated kinase 4,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
66,compound_1,EBP_HUMAN,5,4.86e-06,0.3016,0.5873,9.0892,EBP,"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase",COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
67,compound_1,EP300_HUMAN,5,7.606999999999999e-21,0.8857,2.8717,35.6695,EP300,Histone acetyltransferase p300,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
68,compound_1,ESR1_HUMAN,5,1.6859999999999999e-19,0.3846,24.2488,33.2538,ESR1,Estrogen receptor,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
69,compound_1,ESR2_HUMAN,5,7.68e-09,0.4359,9.801,14.1183,ESR2,Estrogen receptor beta,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
70,compound_1,FOS_HUMAN,5,3.413e-20,0.8857,2.2623,34.4991,FOS,Proto-oncogene c-Fos,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
71,compound_1,G6PT1_HUMAN,5,5.075e-08,0.3065,0.3065,12.645999999999999,SLC37A4,Glucose-6-phosphate exchanger SLC37A4,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
72,compound_1,GLR_HUMAN,5,4.679e-11,0.3846,8.0274,18.0953,GCGR,Glucagon receptor,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
74,compound_1,GP183_HUMAN,5,7.516000000000001e-20,0.322,3.3129,33.8836,GPR183,G-protein coupled receptor 183,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
76,compound_1,GPR35_HUMAN,5,1.2590000000000001e-06,0.4,1.6209,10.142000000000001,GPR35,G-protein coupled receptor 35,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
78,compound_1,GSK3B_HUMAN,5,1.152e-06,0.8205,9.9286,10.2115,GSK3B,Glycogen synthase kinase-3 beta,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
79,compound_1,HDA11_HUMAN,5,1.3550000000000002e-07,0.4186,1.6014,11.8801,HDAC11,Histone deacetylase 11,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
80,compound_1,HDAC1_HUMAN,5,5.9950000000000006e-15,0.4186,24.5343,25.0902,HDAC1,Histone deacetylase 1,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
82,compound_1,HDAC2_HUMAN,5,1.442e-09,0.4186,6.4259,15.4226,HDAC2,Histone deacetylase 2,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
83,compound_1,HDAC5_HUMAN,5,4.377e-07,0.3333,1.2139,10.966,HDAC5,Histone deacetylase 5,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
84,compound_1,HDAC4_HUMAN,5,5.925e-07,0.375,3.2569,10.7299,HDAC4,Histone deacetylase 4,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
85,compound_1,HDAC6_HUMAN,5,4.931e-09,0.4186,10.2743,14.4637,HDAC6,Histone deacetylase 6,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
86,compound_1,HDAC8_HUMAN,5,1.2210000000000001e-15,0.4186,11.7907,26.345,HDAC8,Histone deacetylase 8,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
87,compound_1,HDAC9_HUMAN,5,1.549e-07,0.4186,1.3234,11.7759,HDAC9,Histone deacetylase 9,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
88,compound_1,HIF1A_HUMAN,5,2.247e-07,0.3774,1.3254,11.485999999999999,HIF1A,Hypoxia-inducible factor 1-alpha,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
89,compound_1,HPSE_HUMAN,5,1.098e-06,0.2933,1.4358,10.2488,HPSE,Heparanase,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
91,compound_1,IMDH1_HUMAN,5,4.108e-15,0.3621,2.8483,25.368000000000002,IMPDH1,Inosine-5'-monophosphate dehydrogenase 1,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
92,compound_1,IMDH2_HUMAN,5,3.558e-13,0.3621,6.8964,21.8994,IMPDH2,Inosine-5'-monophosphate dehydrogenase 2,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
93,compound_1,JUN_HUMAN,5,3.805e-18,0.6585,4.3458,30.8238,JUN,Transcription factor AP-1,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
95,compound_1,KCC2A_HUMAN,5,9.356e-10,0.4583,1.5526,15.7597,CAMK2A,Calcium/calmodulin-dependent protein kinase type II subunit alpha,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
96,compound_1,KCNA3_HUMAN,5,1.992e-07,0.449,2.8842,11.5799,KCNA3,Potassium voltage-gated channel subfamily A member 3,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
97,compound_1,KLF5_HUMAN,5,2.5660000000000002e-11,0.3387,2.1685,18.5637,KLF5,Krueppel-like factor 5,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
98,compound_1,LGUL_HUMAN,5,8.493999999999999e-48,0.8857,4.2933,84.0572,GLO1,Lactoylglutathione lyase,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
100,compound_1,LOX15_HUMAN,5,5.938e-09,0.8857,2.7889,14.3189,ALOX15,Arachidonate 15-lipoxygenase,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
103,compound_1,LOX5_HUMAN,5,1.077e-13,0.8857,14.7349,22.8316,ALOX5,Arachidonate 5-lipoxygenase,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
105,compound_1,LT4R1_HUMAN,5,1.509e-06,0.3684,2.4046,10.001,LTB4R,Leukotriene B4 receptor 1,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
109,compound_1,MCL1_HUMAN,5,1.368e-07,0.4915,7.2491,11.8728,MCL1,Induced myeloid leukemia cell differentiation protein Mcl-1,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
110,compound_1,MDR1_HUMAN,5,3.997e-15,0.4222,11.398,25.3955,ABCB1,Multidrug resistance protein 1,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
111,compound_1,MET_HUMAN,5,1.679e-08,0.6122,11.9182,13.5084,MET,Hepatocyte growth factor receptor,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
112,compound_1,MIF_HUMAN,5,9.564e-21,0.3725,4.7343,35.4911,MIF,Macrophage migration inhibitory factor,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
113,compound_1,MMP1_HUMAN,5,9.61e-10,0.48,12.7717,15.7388,MMP1,Interstitial collagenase,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
114,compound_1,MMP2_HUMAN,5,3.244e-10,0.48,15.539000000000001,16.5856,MMP2,72 kDa type IV collagenase,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
115,compound_1,MMP9_HUMAN,5,4.141e-12,0.8857,15.0337,19.9858,MMP9,Matrix metalloproteinase-9,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
116,compound_1,MPRI_HUMAN,5,3.453e-14,0.3636,0.3636,23.7181,IGF2R,Cation-independent mannose-6-phosphate receptor,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
119,compound_1,MYG_HUMAN,5,1.6709999999999998e-33,0.3171,0.3171,58.3953,MB,Myoglobin,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
121,compound_1,NDUA1_HUMAN,5,3.8299999999999995e-31,0.2941,0.2941,54.1577,NDUFA1,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
122,compound_1,NDUA4_HUMAN,5,7.772e-16,0.2941,0.2941,26.6735,NDUFA4,Cytochrome c oxidase subunit NDUFA4,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
123,compound_1,NDUA2_HUMAN,5,3.8299999999999995e-31,0.2941,0.2941,54.1577,NDUFA2,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
124,compound_1,NDUA3_HUMAN,5,3.8299999999999995e-31,0.2941,0.2941,54.1577,NDUFA3,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
125,compound_1,NDUA6_HUMAN,5,3.8299999999999995e-31,0.2941,0.2941,54.1577,NDUFA6,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
126,compound_1,NDUA5_HUMAN,5,3.8299999999999995e-31,0.2941,0.2941,54.1577,NDUFA5,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
127,compound_1,NDUA7_HUMAN,5,3.8299999999999995e-31,0.2941,0.2941,54.1577,NDUFA7,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
128,compound_1,NDUA8_HUMAN,5,3.8299999999999995e-31,0.2941,0.2941,54.1577,NDUFA8,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
129,compound_1,NDUA9_HUMAN,5,3.8299999999999995e-31,0.2941,0.2941,54.1577,NDUFA9,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial",COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
130,compound_1,NDUAA_HUMAN,5,3.8299999999999995e-31,0.2941,0.2941,54.1577,NDUFA10,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
131,compound_1,NDUAB_HUMAN,5,3.8299999999999995e-31,0.2941,0.2941,54.1577,NDUFA11,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
132,compound_1,NDUAC_HUMAN,5,3.8299999999999995e-31,0.2941,0.2941,54.1577,NDUFA12,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
133,compound_1,NDUAD_HUMAN,5,3.8299999999999995e-31,0.2941,0.2941,54.1577,NDUFA13,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
134,compound_1,NDUB1_HUMAN,5,3.8299999999999995e-31,0.2941,0.2941,54.1577,NDUFB1,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
135,compound_1,NDUB3_HUMAN,5,3.8299999999999995e-31,0.2941,0.2941,54.1577,NDUFB3,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
136,compound_1,NDUB2_HUMAN,5,3.8299999999999995e-31,0.2941,0.2941,54.1577,NDUFB2,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 2, mitochondrial",COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
137,compound_1,NDUB4_HUMAN,5,3.8299999999999995e-31,0.2941,0.2941,54.1577,NDUFB4,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
138,compound_1,NDUB5_HUMAN,5,3.8299999999999995e-31,0.2941,0.2941,54.1577,NDUFB5,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial",COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
139,compound_1,NDUB6_HUMAN,5,3.8299999999999995e-31,0.2941,0.2941,54.1577,NDUFB6,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
140,compound_1,NDUB7_HUMAN,5,3.8299999999999995e-31,0.2941,0.2941,54.1577,NDUFB7,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
141,compound_1,NDUB8_HUMAN,5,3.8299999999999995e-31,0.2941,0.2941,54.1577,NDUFB8,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial",COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
142,compound_1,NDUB9_HUMAN,5,3.8299999999999995e-31,0.2941,0.2941,54.1577,NDUFB9,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
143,compound_1,NDUBA_HUMAN,5,3.8299999999999995e-31,0.2941,0.2941,54.1577,NDUFB10,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
144,compound_1,NDUBB_HUMAN,5,3.8299999999999995e-31,0.2941,0.2941,54.1577,NDUFB11,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial",COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
145,compound_1,NDUC1_HUMAN,5,3.8299999999999995e-31,0.2941,0.2941,54.1577,NDUFC1,"NADH dehydrogenase [ubiquinone] 1 subunit C1, mitochondrial",COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
146,compound_1,NDUC2_HUMAN,5,3.8299999999999995e-31,0.2941,0.2941,54.1577,NDUFC2,NADH dehydrogenase [ubiquinone] 1 subunit C2,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
147,compound_1,NDUF2_HUMAN,5,3.8299999999999995e-31,0.2941,0.2941,54.1577,NDUFAF2,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 2,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
148,compound_1,NDUF3_HUMAN,5,3.8299999999999995e-31,0.2941,0.2941,54.1577,NDUFAF3,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
149,compound_1,NDUF4_HUMAN,5,3.8299999999999995e-31,0.2941,0.2941,54.1577,NDUFAF4,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
150,compound_1,NDUS1_HUMAN,5,3.8299999999999995e-31,0.2941,0.2941,54.1577,NDUFS1,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial",COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
151,compound_1,NDUS3_HUMAN,5,3.8299999999999995e-31,0.2941,0.2941,54.1577,NDUFS3,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial",COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
152,compound_1,NDUS2_HUMAN,5,3.8299999999999995e-31,0.2941,0.2941,54.1577,NDUFS2,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial",COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
153,compound_1,NDUS4_HUMAN,5,3.8299999999999995e-31,0.2941,0.2941,54.1577,NDUFS4,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial",COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
154,compound_1,NDUS5_HUMAN,5,3.8299999999999995e-31,0.2941,0.2941,54.1577,NDUFS5,NADH dehydrogenase [ubiquinone] iron-sulfur protein 5,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
